item_id,category,timestamp,holiday,prevdaysales1,prevdaysales2,prevdaysales3,prevdaysales4,prevdaysales5,prevdaysales6,temperature,weather,demand
27698822,1,2018-07-01,0,8,4,1,4,7,3,20.9,804.0,3
28996134,1,2018-07-01,0,9,14,14,15,12,20,20.9,804.0,10
87689449,1,2018-07-01,0,1,0,1,1,2,2,20.9,804.0,2
27236508,1,2018-07-01,0,0,4,3,3,0,2,20.9,804.0,3
22204376,1,2018-07-01,0,7,9,8,6,14,6,20.9,804.0,3
25377308,1,2018-07-01,0,2,4,2,2,2,2,20.9,804.0,2
28593343,1,2018-07-01,0,3,12,8,9,2,4,20.9,804.0,5
90446598,1,2018-07-01,0,6,3,6,9,3,4,20.9,804.0,3
16127141,1,2018-07-01,0,1,3,3,3,3,2,20.9,804.0,2
27509776,1,2018-07-01,0,3,6,4,4,3,4,20.9,804.0,3
23348268,2,2018-07-01,0,2,6,6,4,4,2,20.9,804.0,1
17196765,1,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
10640520,1,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
14653709,2,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
13555779,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
14010310,1,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
14907084,2,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
56461934,2,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
11553237,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
11595892,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
23182376,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
16155406,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
32290960,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
14491190,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
75240713,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
11307697,2,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
71371025,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
11098183,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
16788277,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
19022266,1,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
20230910,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
11138126,3,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
33945594,2,2018-07-01,0,0,0,0,0,0,0,20.9,804.0,0
91038395,1,2018-07-02,0,0,0,5,1,2,5,21.0,800.0,4
58262980,1,2018-07-02,0,3,8,4,1,4,7,21.0,800.0,6
10446773,1,2018-07-02,0,10,9,14,14,15,12,21.0,800.0,19
28625536,1,2018-07-02,0,2,1,0,1,1,2,21.0,800.0,3
30616349,1,2018-07-02,0,3,0,4,3,3,0,21.0,800.0,3
31991592,1,2018-07-02,0,3,6,3,6,9,3,21.0,800.0,9
14944371,1,2018-07-02,0,0,4,3,4,3,4,21.0,800.0,3
37851878,1,2018-07-02,0,3,7,9,8,6,14,21.0,800.0,6
71751387,1,2018-07-02,0,2,2,4,2,2,2,21.0,800.0,3
84950592,1,2018-07-02,0,2,1,3,3,3,3,21.0,800.0,3
25708030,1,2018-07-02,0,3,3,6,4,4,3,21.0,800.0,4
27943366,1,2018-07-02,0,5,3,12,8,9,2,21.0,800.0,6
14448455,2,2018-07-02,0,0,2,5,6,1,5,21.0,800.0,4
64657560,2,2018-07-02,0,0,0,3,1,4,2,21.0,800.0,5
29867319,2,2018-07-02,0,0,2,2,2,0,3,21.0,800.0,2
67751753,2,2018-07-02,0,1,2,6,6,4,4,21.0,800.0,2
12597046,2,2018-07-02,0,0,0,6,0,0,0,21.0,800.0,3
21654504,3,2018-07-02,0,0,2,3,4,1,3,21.0,800.0,3
33650855,3,2018-07-02,0,0,0,1,1,1,0,21.0,800.0,1
99307488,3,2018-07-02,0,0,0,1,1,2,0,21.0,800.0,1
28984278,3,2018-07-02,0,0,1,3,5,4,2,21.0,800.0,3
83411513,3,2018-07-02,0,0,1,5,4,1,3,21.0,800.0,3
10640520,1,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
23182376,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
16155406,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
14491190,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
75240713,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
11098183,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
16788277,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
19022266,1,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
20230910,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
11138126,3,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
33945594,2,2018-07-02,0,0,0,0,0,0,0,21.0,800.0,0
14698637,1,2018-07-03,0,4,0,0,5,1,2,19.6,801.0,4
23516999,1,2018-07-03,0,6,3,8,4,1,4,19.6,801.0,7
16358635,1,2018-07-03,0,19,10,9,14,14,15,19.6,801.0,13
10646662,1,2018-07-03,0,9,3,6,3,6,9,19.6,801.0,6
71388817,1,2018-07-03,0,3,0,4,3,4,3,19.6,801.0,3
54825149,1,2018-07-03,0,6,3,7,9,8,6,19.6,801.0,7
19855769,1,2018-07-03,0,3,2,2,4,2,2,19.6,801.0,2
19028520,1,2018-07-03,0,6,5,3,12,8,9,19.6,801.0,8
82328393,1,2018-07-03,0,3,2,1,3,3,3,19.6,801.0,2
24371916,1,2018-07-03,0,4,3,3,6,4,4,19.6,801.0,4
20119667,1,2018-07-03,0,3,3,0,4,3,3,19.6,801.0,3
53706877,2,2018-07-03,0,5,0,0,3,1,4,19.6,801.0,4
19154966,2,2018-07-03,0,2,1,2,6,6,4,19.6,801.0,6
28523203,2,2018-07-03,0,3,0,0,6,0,0,19.6,801.0,3
22127551,2,2018-07-03,0,2,0,2,2,2,0,19.6,801.0,1
23305254,3,2018-07-03,0,3,0,2,3,4,1,19.6,801.0,2
11873111,3,2018-07-03,0,1,0,0,1,1,1,19.6,801.0,1
24873805,3,2018-07-03,0,1,0,0,1,1,2,19.6,801.0,1
33425713,3,2018-07-03,0,3,0,1,3,5,4,19.6,801.0,3
20695362,3,2018-07-03,0,3,0,1,5,4,1,19.6,801.0,3
32650892,3,2018-07-03,0,0,0,0,1,0,0,19.6,801.0,2
28625536,1,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
10640520,1,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
14448455,2,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
23182376,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
16155406,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
75240713,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
11098183,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
16788277,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
19022266,1,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
20230910,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
11138126,3,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
33945594,2,2018-07-03,0,0,0,0,0,0,0,19.6,801.0,0
20885006,1,2018-07-04,0,4,4,0,0,5,1,23.1,801.0,3
10418391,1,2018-07-04,0,7,6,3,8,4,1,23.1,801.0,8
