2020-01-29,2020-01-30,2020-01-31
1.0,1.0,1.0
3.0,-1.0,-3.0
0.0,0.0,0.0
5.0,-1.0,-7.0
1.0,-4.0,-1.0
1.0,1.0,-1.0
0.0,-7.0,-9.0
1.0,0.0,1.0
-2.0,0.0,-2.0
-2.0,1.0,-1.0
-4.0,3.0,3.0
0.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
4.0,-4.0,-2.0
0.0,-3.0,-2.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,0.0
-3.0,0.0,0.0
0.0,0.0,0.0
1.0,2.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
5.0,-2.0,-2.0
1.0,2.0,-2.0
0.0,0.0,0.0
0.0,1.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,0.0,1.0
0.0,0.0,0.0
1.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.0,0.0
-2.0,-3.0,0.0
1.0,1.0,1.0
1.0,0.0,1.0
-2.0,1.0,-3.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
-1.0,1.0,2.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,2.0,0.0
1.0,0.0,2.0
0.0,1.0,0.0
0.0,-1.0,-1.0
1.0,1.0,1.0
1.0,1.0,1.0
