2019-02-26,2019-02-27,2019-02-28
3.0,4.0,4.0
7.0,4.0,-7.0
0.0,0.0,1.0
-3.0,-2.0,1.0
1.0,1.0,-2.0
0.0,2.0,-1.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,-1.0
-4.0,1.0,-2.0
3.0,-2.0,-1.0
1.0,1.0,1.0
0.0,0.0,1.0
2.0,3.0,3.0
0.0,1.0,-3.0
-1.0,-1.0,-2.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,-3.0
0.0,0.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,1.0
2.0,-8.881784197001252e-16,-1.0
0.0,-3.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,-1.0,0.0
1.0,1.0,1.0
3.0,-2.0,1.0
0.0,0.0,0.0
2.0,2.0,2.0
2.0,2.0,2.0
0.0,-1.0,0.0
1.0,2.0,2.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,-1.0
1.0,1.0,1.0
-1.0,-1.0,1.0
-1.0,-2.0,-2.0
-3.0,-1.0,-6.0
-3.0,-7.0,-3.0
0.0,-2.0,-3.0
0.0,0.0,-1.0
-3.0,-2.0,-2.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,0.0,0.0
0.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
