dt,dt_iso,timezone,city_name,lat,lon,temp,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1530403200,2018-07-01 00:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,11.11,1.54,0,,,,,38,802,Clouds,scattered clouds,03n
1530406800,2018-07-01 01:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,11.01,2.06,310,,,,,9,800,Clear,sky is clear,01n
1530410400,2018-07-01 02:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,10.97,2.57,300,,,,,2,800,Clear,sky is clear,01n
1530414000,2018-07-01 03:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,10.67,1.54,290,,,,,3,800,Clear,sky is clear,01n
1530417600,2018-07-01 04:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,10.38,1.03,0,,,,,6,800,Clear,sky is clear,01n
1530421200,2018-07-01 05:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,11.19,3.09,290,,,,,16,801,Clouds,few clouds,02d
1530424800,2018-07-01 06:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,13.43,2.57,320,,,,,40,802,Clouds,scattered clouds,03d
1530428400,2018-07-01 07:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,15.72,1.54,0,,,,,79,803,Clouds,broken clouds,04d
1530432000,2018-07-01 08:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,17.51,2.06,360,,,,,86,804,Clouds,overcast clouds,04d
1530435600,2018-07-01 09:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,19.27,3.09,30,,,,,91,804,Clouds,overcast clouds,04d
1530439200,2018-07-01 10:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,20.15,4.63,20,,,,,100,804,Clouds,overcast clouds,04d
1530442800,2018-07-01 11:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,21.03,5.66,40,,,,,100,804,Clouds,overcast clouds,04d
1530446400,2018-07-01 12:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,20.17,5.66,60,,,,,100,804,Clouds,overcast clouds,04d
1530450000,2018-07-01 13:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,20.59,4.63,50,,,,,99,804,Clouds,overcast clouds,04d
1530453600,2018-07-01 14:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,21.74,6.17,60,,,,,100,804,Clouds,overcast clouds,04d
1530457200,2018-07-01 15:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,21.22,5.14,40,,,,,100,804,Clouds,overcast clouds,04d
1530460800,2018-07-01 16:00:00 +0000 UTC,3600,Dublin,53.349805,-6.26031,21.23,5.14,80,,,,,100,804,Clouds,overcast clouds,04d
